cuisine,ajowan,allspice,almond,angelica,anise,apple,apricot,arrowroot,asafetida,asparagus,avocado,banana,barley,basil,bayleaf,beet,black cumin,black pepper,broccoli,buckwheat,cabbage,camphor,canola,capsicum,caraway,cardamom,carrot,cashew,castor,celery,chickpea,chives,cinnamon,cloves,coconut,coffee,coriander,cranberry,cumin,date,dill,fennel,fenugreek,flax,garden cress,garlic,ginger,grape,grapefruit,guava,holy basil,hot pepper,ivy,ivy gourd,jasmine,kiwi,lemon,lime,lotus,lovage,mango,melon,mustard,nutmeg,oats,okra,onion,opium poppy,orange,oregano,papaya,parsley,peanut,pear,pigeonpea,pineapple,plum,pomegranate,potato,pumpkin,pumpkin seed,radish,saffron,sage,sesame,spearmint,spinach,star anise,strawberry,sweet marjoram,sweet potato,tamarind,thyme,tomato,turmeric,vanilla,watermelon,white mustard
Andhra,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.0,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.0,0.23076923076923078,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.0,0.17307692307692307,0.25,0.21153846153846154,0.0,0.5,0.0,0.36538461538461536,0.0,0.0,0.057692307692307696,0.11538461538461539,0.0,0.0,0.4807692307692308,0.4423076923076923,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.07692307692307693,0.019230769230769232,0.5384615384615384,0.057692307692307696,0.0,0.0,0.5,0.09615384615384616,0.0,0.0,0.0,0.0,0.09615384615384616,0.019230769230769232,0.07692307692307693,0.0,0.0,0.019230769230769232,0.0,0.038461538461538464,0.0,0.0,0.019230769230769232,0.0,0.21153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.15384615384615385,0.38461538461538464,0.0,0.0,0.0
Bengali,0.007168458781362007,0.0,0.08243727598566308,0.0,0.021505376344086023,0.017921146953405017,0.0035842293906810036,0.007168458781362007,0.12186379928315412,0.0,0.0,0.04659498207885305,0.0,0.0,0.13261648745519714,0.007168458781362007,0.06810035842293907,0.22580645161290322,0.0,0.0,0.021505376344086023,0.0,0.0,0.03225806451612903,0.0035842293906810036,0.3333333333333333,0.03225806451612903,0.05734767025089606,0.014336917562724014,0.0,0.0035842293906810036,0.0,0.23297491039426524,0.23297491039426524,0.15053763440860216,0.0,0.34767025089605735,0.0,0.32974910394265233,0.010752688172043012,0.0,0.13261648745519714,0.08243727598566308,0.0,0.0,0.2616487455197133,0.33691756272401435,0.0,0.0,0.0,0.0,0.6594982078853047,0.0,0.0,0.0,0.007168458781362007,0.1111111111111111,0.0,0.0,0.0,0.08602150537634409,0.0,0.3154121863799283,0.16487455197132617,0.0035842293906810036,0.0,0.33691756272401435,0.06451612903225806,0.025089605734767026,0.0,0.0035842293906810036,0.0,0.03225806451612903,0.0035842293906810036,0.007168458781362007,0.010752688172043012,0.0035842293906810036,0.0035842293906810036,0.1827956989247312,0.021505376344086023,0.0,0.010752688172043012,0.10752688172043011,0.0,0.053763440860215055,0.017921146953405017,0.03225806451612903,0.03225806451612903,0.0,0.0,0.017921146953405017,0.03942652329749104,0.0,0.1971326164874552,0.4910394265232975,0.014336917562724014,0.0,0.0035842293906810036
Goan,0.02564102564102564,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.01282051282051282,0.0,0.0,0.038461538461538464,0.01282051282051282,0.0,0.7948717948717948,0.0,0.0,0.01282051282051282,0.0,0.0,0.038461538461538464,0.01282051282051282,0.2564102564102564,0.02564102564102564,0.038461538461538464,0.02564102564102564,0.0,0.038461538461538464,0.0,0.46153846153846156,0.5512820512820513,0.48717948717948717,0.0,0.5384615384615384,0.0,0.5128205128205128,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.6666666666666666,0.5897435897435898,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.14102564102564102,0.0,0.0,0.0,0.01282051282051282,0.0,0.15384615384615385,0.16666666666666666,0.0,0.0,0.717948717948718,0.0641025641025641,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.08974358974358974,0.0,0.0,0.0,0.14102564102564102,0.02564102564102564,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.038461538461538464,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.01282051282051282,0.2692307692307692,0.0,0.2692307692307692,0.6025641025641025,0.01282051282051282,0.0,0.0
Gujarati,0.0570430733410943,0.0,0.06286379511059371,0.0,0.0,0.012805587892898719,0.0,0.010477299185098952,0.42607683352735737,0.0,0.0,0.05355064027939464,0.0,0.004656577415599534,0.037252619324796274,0.0011641443538998836,0.002328288707799767,0.18044237485448195,0.0,0.009313154831199068,0.023282887077997673,0.0,0.0,0.018626309662398137,0.0034924330616996507,0.1920838183934808,0.03608847497089639,0.04190919674039581,0.005820721769499418,0.0011641443538998836,0.0,0.0,0.15948777648428406,0.17229336437718276,0.17462165308498254,0.0011641443538998836,0.5774155995343423,0.0,0.459837019790454,0.012805587892898719,0.010477299185098952,0.05238649592549476,0.15017462165308498,0.0034924330616996507,0.0,0.17578579743888242,0.4109429569266589,0.004656577415599534,0.0,0.004656577415599534,0.0,0.8381839348079162,0.0,0.0,0.0,0.0,0.2351571594877765,0.0011641443538998836,0.0,0.0,0.08149010477299184,0.0011641443538998836,0.3061699650756694,0.08731082654249127,0.006984866123399301,0.0011641443538998836,0.13853317811408614,0.02211874272409779,0.0034924330616996507,0.0011641443538998836,0.0011641443538998836,0.0,0.08963911525029103,0.002328288707799767,0.01629802095459837,0.006984866123399301,0.0011641443538998836,0.012805587892898719,0.1548311990686845,0.0011641443538998836,0.0,0.020954598370197905,0.05355064027939464,0.0011641443538998836,0.16880093131548313,0.037252619324796274,0.02677532013969732,0.015133876600698487,0.0011641443538998836,0.0011641443538998836,0.012805587892898719,0.03608847497089639,0.0011641443538998836,0.08731082654249127,0.470314318975553,0.002328288707799767,0.0,0.0
Hyderabadi,0.01764705882352941,0.0,0.12352941176470589,0.0,0.0,0.023529411764705882,0.011764705882352941,0.0058823529411764705,0.052941176470588235,0.0,0.0,0.011764705882352941,0.0058823529411764705,0.0,0.21176470588235294,0.0,0.029411764705882353,0.7294117647058823,0.0,0.0,0.011764705882352941,0.0,0.0,0.03529411764705882,0.12352941176470589,0.8,0.06470588235294118,0.16470588235294117,0.0058823529411764705,0.0,0.0,0.0,0.6470588235294118,0.6764705882352942,0.08235294117647059,0.0,0.611764705882353,0.0,0.4823529411764706,0.011764705882352941,0.0,0.06470588235294118,0.1,0.0,0.0,0.6882352941176471,0.7647058823529411,0.0,0.0,0.0,0.0,0.7941176470588235,0.0,0.0,0.0,0.0,0.18235294117647058,0.0,0.0058823529411764705,0.0,0.052941176470588235,0.023529411764705882,0.2,0.4,0.0058823529411764705,0.0,0.6529411764705882,0.052941176470588235,0.0058823529411764705,0.0,0.01764705882352941,0.0,0.1,0.0,0.01764705882352941,0.023529411764705882,0.0058823529411764705,0.01764705882352941,0.11176470588235295,0.01764705882352941,0.0,0.0058823529411764705,0.18823529411764706,0.0,0.13529411764705881,0.18823529411764706,0.023529411764705882,0.047058823529411764,0.0,0.0,0.0,0.12941176470588237,0.0,0.27647058823529413,0.5411764705882353,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705
Jain,0.031746031746031744,0.0,0.0380952380952381,0.0,0.0031746031746031746,0.03492063492063492,0.0,0.0,0.37777777777777777,0.006349206349206349,0.0031746031746031746,0.1111111111111111,0.0,0.009523809523809525,0.09841269841269841,0.0031746031746031746,0.01904761904761905,0.3111111111111111,0.0031746031746031746,0.0031746031746031746,0.047619047619047616,0.0,0.0,0.09841269841269841,0.009523809523809525,0.21587301587301588,0.02857142857142857,0.05714285714285714,0.006349206349206349,0.012698412698412698,0.0031746031746031746,0.0031746031746031746,0.15555555555555556,0.19365079365079366,0.18412698412698414,0.0,0.47619047619047616,0.0,0.4158730158730159,0.0031746031746031746,0.0031746031746031746,0.12063492063492064,0.0761904761904762,0.0,0.0,0.08571428571428572,0.24126984126984127,0.006349206349206349,0.0031746031746031746,0.0031746031746031746,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.19365079365079366,0.009523809523809525,0.0,0.0,0.10476190476190476,0.006349206349206349,0.2984126984126984,0.11428571428571428,0.0031746031746031746,0.0,0.025396825396825397,0.01904761904761905,0.012698412698412698,0.009523809523809525,0.006349206349206349,0.015873015873015872,0.06349206349206349,0.006349206349206349,0.015873015873015872,0.01904761904761905,0.0,0.022222222222222223,0.015873015873015872,0.0031746031746031746,0.0,0.0031746031746031746,0.031746031746031744,0.0031746031746031746,0.14285714285714285,0.08571428571428572,0.01904761904761905,0.05396825396825397,0.0031746031746031746,0.0031746031746031746,0.0,0.0761904761904762,0.0031746031746031746,0.26666666666666666,0.39365079365079364,0.0031746031746031746,0.0031746031746031746,0.0
Karnataka,0.008,0.0,0.024,0.0,0.0,0.024,0.0,0.0,0.328,0.0,0.0,0.048,0.0,0.0,0.024,0.0,0.0,0.432,0.0,0.0,0.0,0.008,0.0,0.032,0.0,0.208,0.024,0.152,0.0,0.0,0.008,0.0,0.096,0.16,0.496,0.0,0.48,0.0,0.28,0.0,0.0,0.056,0.208,0.0,0.0,0.272,0.304,0.016,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.056,0.0,0.448,0.032,0.008,0.0,0.4,0.024,0.008,0.0,0.0,0.0,0.056,0.0,0.136,0.024,0.0,0.0,0.088,0.016,0.0,0.0,0.048,0.0,0.072,0.032,0.008,0.016,0.008,0.0,0.0,0.328,0.0,0.192,0.384,0.008,0.0,0.0
Kashmiri,0.0,0.0,0.19148936170212766,0.0,0.14893617021276595,0.02127659574468085,0.02127659574468085,0.0,0.3617021276595745,0.0,0.0,0.02127659574468085,0.0,0.0,0.1702127659574468,0.0,0.0,0.5106382978723404,0.0,0.0,0.0,0.0,0.0,0.0,0.1702127659574468,0.7872340425531915,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.5957446808510638,0.5957446808510638,0.0425531914893617,0.0,0.19148936170212766,0.0,0.3404255319148936,0.0425531914893617,0.0,0.40425531914893614,0.0851063829787234,0.0,0.0,0.23404255319148937,0.7659574468085106,0.02127659574468085,0.0,0.0,0.0,0.6382978723404256,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.06382978723404255,0.0,0.0425531914893617,0.0,0.10638297872340426,0.2127659574468085,0.0,0.0,0.3404255319148936,0.02127659574468085,0.0,0.0,0.0425531914893617,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.0,0.0,0.02127659574468085,0.2553191489361702,0.0,0.02127659574468085,0.10638297872340426,0.0851063829787234,0.0425531914893617,0.0,0.0,0.0,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.3617021276595745,0.0,0.0,0.0
Kerala,0.015748031496062992,0.0,0.015748031496062992,0.0,0.007874015748031496,0.015748031496062992,0.0,0.0,0.1732283464566929,0.0,0.0,0.11023622047244094,0.0,0.0,0.047244094488188976,0.0,0.0,0.4330708661417323,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.007874015748031496,0.2047244094488189,0.09448818897637795,0.09448818897637795,0.0,0.0,0.007874015748031496,0.0,0.15748031496062992,0.14960629921259844,0.6456692913385826,0.0,0.4409448818897638,0.0,0.2283464566929134,0.007874015748031496,0.0,0.07086614173228346,0.09448818897637795,0.0,0.0,0.4409448818897638,0.5118110236220472,0.007874015748031496,0.0,0.0,0.0,0.7874015748031497,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.0,0.1889763779527559,0.007874015748031496,0.0,0.0,0.031496062992125984,0.0,0.4330708661417323,0.031496062992125984,0.0,0.0,0.4015748031496063,0.007874015748031496,0.007874015748031496,0.0,0.007874015748031496,0.007874015748031496,0.031496062992125984,0.007874015748031496,0.07874015748031496,0.007874015748031496,0.0,0.0,0.09448818897637795,0.031496062992125984,0.0,0.0,0.023622047244094488,0.0,0.05511811023622047,0.03937007874015748,0.015748031496062992,0.05511811023622047,0.0,0.0,0.007874015748031496,0.18110236220472442,0.0,0.18110236220472442,0.4645669291338583,0.007874015748031496,0.0,0.0
Maharashtrian,0.013774104683195593,0.0,0.06198347107438017,0.0,0.0013774104683195593,0.013774104683195593,0.0,0.005509641873278237,0.24104683195592286,0.0,0.0,0.024793388429752067,0.0,0.0013774104683195593,0.10606060606060606,0.0013774104683195593,0.0013774104683195593,0.3209366391184573,0.0013774104683195593,0.0027548209366391185,0.004132231404958678,0.0,0.0,0.024793388429752067,0.030303030303030304,0.3154269972451791,0.02203856749311295,0.07575757575757576,0.005509641873278237,0.0,0.0027548209366391185,0.0,0.21212121212121213,0.2741046831955923,0.3746556473829201,0.0027548209366391185,0.571625344352617,0.0013774104683195593,0.40771349862258954,0.011019283746556474,0.004132231404958678,0.05922865013774105,0.06198347107438017,0.0027548209366391185,0.0013774104683195593,0.3319559228650138,0.3140495867768595,0.006887052341597796,0.0,0.0,0.0,0.7382920110192838,0.0013774104683195593,0.0013774104683195593,0.0013774104683195593,0.0,0.2024793388429752,0.004132231404958678,0.0,0.0,0.07851239669421488,0.0013774104683195593,0.2396694214876033,0.11019283746556474,0.004132231404958678,0.0,0.3402203856749311,0.05234159779614325,0.006887052341597796,0.0,0.0,0.0013774104683195593,0.16666666666666666,0.0013774104683195593,0.013774104683195593,0.006887052341597796,0.0013774104683195593,0.006887052341597796,0.174931129476584,0.009641873278236915,0.0013774104683195593,0.005509641873278237,0.06473829201101929,0.0,0.15013774104683195,0.03168044077134986,0.015151515151515152,0.045454545454545456,0.0013774104683195593,0.0,0.012396694214876033,0.10192837465564739,0.0,0.11983471074380166,0.4669421487603306,0.0013774104683195593,0.0013774104683195593,0.0
Mughlai,0.004761904761904762,0.0,0.1523809523809524,0.004761904761904762,0.01904761904761905,0.04285714285714286,0.014285714285714285,0.0,0.07142857142857142,0.0,0.0,0.023809523809523808,0.0,0.004761904761904762,0.19047619047619047,0.0,0.014285714285714285,0.4666666666666667,0.0,0.0,0.009523809523809525,0.004761904761904762,0.0,0.047619047619047616,0.047619047619047616,0.7904761904761904,0.11904761904761904,0.21904761904761905,0.004761904761904762,0.0,0.0,0.0,0.5476190476190477,0.638095238095238,0.09047619047619047,0.0,0.5095238095238095,0.0,0.34285714285714286,0.004761904761904762,0.0,0.09047619047619047,0.09047619047619047,0.0,0.0,0.4380952380952381,0.580952380952381,0.004761904761904762,0.0,0.0,0.0,0.6761904761904762,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,0.07142857142857142,0.004761904761904762,0.06666666666666667,0.3333333333333333,0.0,0.0,0.44761904761904764,0.11428571428571428,0.004761904761904762,0.0,0.009523809523809525,0.0,0.009523809523809525,0.0,0.0,0.01904761904761905,0.0,0.004761904761904762,0.19523809523809524,0.009523809523809525,0.0,0.0,0.19523809523809524,0.0,0.05714285714285714,0.0761904761904762,0.0380952380952381,0.047619047619047616,0.0,0.0,0.0,0.009523809523809525,0.0,0.2761904761904762,0.3047619047619048,0.01904761904761905,0.0,0.0
Parsi,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.058823529411764705,0.0,0.0196078431372549,0.0,0.0,0.0784313725490196,0.0,0.0,0.0784313725490196,0.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.37254901960784315,0.058823529411764705,0.0784313725490196,0.0,0.0,0.0196078431372549,0.0,0.35294117647058826,0.29411764705882354,0.13725490196078433,0.0,0.6470588235294118,0.0,0.6078431372549019,0.0,0.0196078431372549,0.0392156862745098,0.13725490196078433,0.0,0.0,0.7058823529411765,0.5882352941176471,0.0,0.0,0.0,0.0,0.8431372549019608,0.0,0.0,0.0,0.0,0.19607843137254902,0.0,0.0,0.0,0.0196078431372549,0.0,0.0196078431372549,0.3137254901960784,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.4117647058823529,0.09803921568627451,0.0,0.0,0.0196078431372549,0.0,0.0392156862745098,0.19607843137254902,0.0,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0784313725490196,0.0,0.5294117647058824,0.5686274509803921,0.0784313725490196,0.0,0.0
Punjabi,0.06750496360026473,0.0006618133686300463,0.04765056254136334,0.0006618133686300463,0.0033090668431502318,0.01455989410986102,0.0,0.0013236267372600927,0.20119126406353408,0.0,0.0,0.009265387160820648,0.0006618133686300463,0.0033090668431502318,0.15089344804765056,0.009265387160820648,0.01985440105890139,0.44606221045665123,0.0033090668431502318,0.0006618133686300463,0.021178027796161483,0.0,0.0006618133686300463,0.0827266710787558,0.005956320317670417,0.4487094639311714,0.05757776307081403,0.0800794176042356,0.0033090668431502318,0.0026472534745201853,0.013898080741230973,0.0,0.3990734612839179,0.4513567174056916,0.036399735274652546,0.0006618133686300463,0.5883520847121112,0.0,0.42819324950363996,0.009927200529450696,0.004632693580410324,0.14493712772998016,0.1654533421575116,0.0,0.0,0.45466578424884185,0.5579086697551291,0.0033090668431502318,0.0,0.0006618133686300463,0.0,0.8974189278623428,0.0006618133686300463,0.0006618133686300463,0.0,0.001985440105890139,0.15354070152217075,0.0006618133686300463,0.004632693580410324,0.0,0.20913302448709464,0.005294506949040371,0.17670416942422237,0.3183322303110523,0.005294506949040371,0.0,0.4983454665784249,0.027134348113831898,0.005956320317670417,0.0006618133686300463,0.0033090668431502318,0.0,0.017207147584381206,0.001985440105890139,0.0013236267372600927,0.007941760423560556,0.0006618133686300463,0.031105228325612178,0.16743878226340173,0.009927200529450696,0.0,0.01257445400397088,0.05162144275314361,0.0013236267372600927,0.11515552614162806,0.09331568497683654,0.08669755129053607,0.0900066181336863,0.0013236267372600927,0.0013236267372600927,0.0013236267372600927,0.019192587690271344,0.0013236267372600927,0.3044341495698213,0.43613500992720056,0.0033090668431502318,0.0006618133686300463,0.0006618133686300463
Rajasthani,0.10465116279069768,0.0,0.09689922480620156,0.0,0.003875968992248062,0.011627906976744186,0.0,0.007751937984496124,0.36046511627906974,0.0,0.0,0.003875968992248062,0.003875968992248062,0.007751937984496124,0.17054263565891473,0.003875968992248062,0.08527131782945736,0.29457364341085274,0.003875968992248062,0.0,0.007751937984496124,0.0,0.0,0.03488372093023256,0.003875968992248062,0.42248062015503873,0.023255813953488372,0.06201550387596899,0.003875968992248062,0.003875968992248062,0.0,0.0,0.28294573643410853,0.34108527131782945,0.03875968992248062,0.0,0.5387596899224806,0.0,0.5077519379844961,0.011627906976744186,0.0,0.2558139534883721,0.15503875968992248,0.0,0.0,0.22093023255813954,0.375968992248062,0.0,0.0,0.0,0.0,0.810077519379845,0.0,0.0,0.0,0.0,0.10077519379844961,0.003875968992248062,0.003875968992248062,0.0,0.28294573643410853,0.011627906976744186,0.19767441860465115,0.21705426356589147,0.003875968992248062,0.0,0.28294573643410853,0.03488372093023256,0.003875968992248062,0.0,0.0,0.0,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.11627906976744186,0.023255813953488372,0.0,0.011627906976744186,0.10465116279069768,0.003875968992248062,0.08914728682170543,0.046511627906976744,0.01937984496124031,0.046511627906976744,0.0,0.003875968992248062,0.003875968992248062,0.027131782945736434,0.003875968992248062,0.14728682170542637,0.4689922480620155,0.0,0.0,0.007751937984496124
Sindhi,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4772727272727273,0.0,0.06818181818181818,0.0,0.0,0.022727272727272728,0.0,0.22727272727272727,0.3409090909090909,0.045454545454545456,0.0,0.6136363636363636,0.0,0.4090909090909091,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.0,0.0,0.22727272727272727,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.022727272727272728,0.0,0.18181818181818182,0.0,0.06818181818181818,0.18181818181818182,0.0,0.0,0.5681818181818182,0.045454545454545456,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.25,0.022727272727272728,0.0,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0
South Indian,0.004722550177095631,0.0,0.014167650531286895,0.0,0.004722550177095631,0.0070838252656434475,0.0011806375442739079,0.0,0.34710743801652894,0.0,0.0,0.03896103896103896,0.0023612750885478157,0.0035419126328217238,0.020070838252656435,0.009445100354191263,0.004722550177095631,0.25737898465171194,0.0011806375442739079,0.0011806375442739079,0.03659976387249114,0.0023612750885478157,0.0,0.048406139315230225,0.0011806375442739079,0.12632821723730814,0.11216056670602124,0.1038961038961039,0.0,0.0,0.012987012987012988,0.0,0.0743801652892562,0.11216056670602124,0.48642266824085006,0.0023612750885478157,0.4604486422668241,0.0,0.33293978748524206,0.0,0.0035419126328217238,0.04132231404958678,0.17237308146399055,0.0035419126328217238,0.0,0.16056670602125148,0.2396694214876033,0.0023612750885478157,0.0,0.0,0.0023612750885478157,0.7969303423848878,0.0,0.0,0.0,0.0,0.08028335301062574,0.0011806375442739079,0.0,0.0,0.05076741440377804,0.0011806375442739079,0.4474616292798111,0.04014167650531287,0.020070838252656435,0.0,0.3317591499409681,0.018890200708382526,0.0023612750885478157,0.0,0.0,0.0,0.043683589138134596,0.0035419126328217238,0.03541912632821724,0.0059031877213695395,0.0,0.0035419126328217238,0.08264462809917356,0.025974025974025976,0.0,0.0035419126328217238,0.024793388429752067,0.0,0.06965761511216056,0.01770956316410862,0.04014167650531287,0.01652892561983471,0.0,0.0,0.0023612750885478157,0.18772136953955135,0.0,0.20425029515938606,0.3400236127508855,0.0011806375442739079,0.0011806375442739079,0.0
Tamil Nadu,0.011834319526627219,0.0,0.005917159763313609,0.0,0.01775147928994083,0.011834319526627219,0.0,0.0,0.41420118343195267,0.0,0.0,0.04142011834319527,0.0,0.005917159763313609,0.04142011834319527,0.005917159763313609,0.0,0.47928994082840237,0.0,0.0,0.005917159763313609,0.029585798816568046,0.0,0.029585798816568046,0.0,0.1893491124260355,0.05917159763313609,0.1242603550295858,0.011834319526627219,0.0,0.047337278106508875,0.0,0.10059171597633136,0.10059171597633136,0.3905325443786982,0.0,0.5443786982248521,0.0,0.378698224852071,0.0,0.0,0.08284023668639054,0.1893491124260355,0.0,0.0,0.1952662721893491,0.31952662721893493,0.011834319526627219,0.0,0.0,0.0,0.8875739644970414,0.0,0.0,0.0,0.0,0.15384615384615385,0.005917159763313609,0.0,0.005917159763313609,0.05917159763313609,0.0,0.5207100591715976,0.05917159763313609,0.0,0.0,0.3431952662721893,0.07100591715976332,0.005917159763313609,0.0,0.0,0.0,0.05325443786982249,0.005917159763313609,0.2781065088757396,0.005917159763313609,0.0,0.0,0.08875739644970414,0.03550295857988166,0.005917159763313609,0.005917159763313609,0.029585798816568046,0.0,0.08284023668639054,0.03550295857988166,0.023668639053254437,0.047337278106508875,0.0,0.0,0.0,0.2781065088757396,0.0,0.24260355029585798,0.46153846153846156,0.0,0.0,0.0
Uttar Pradesh,0.043859649122807015,0.0,0.17543859649122806,0.0,0.0,0.05263157894736842,0.0,0.0,0.2631578947368421,0.0,0.0,0.017543859649122806,0.0,0.0,0.14035087719298245,0.008771929824561403,0.0,0.43859649122807015,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.05263157894736842,0.5614035087719298,0.017543859649122806,0.14035087719298245,0.02631578947368421,0.0,0.0,0.0,0.2719298245614035,0.32456140350877194,0.017543859649122806,0.0,0.35964912280701755,0.0,0.38596491228070173,0.02631578947368421,0.0,0.18421052631578946,0.07894736842105263,0.0,0.0,0.3684210526315789,0.41228070175438597,0.008771929824561403,0.0,0.008771929824561403,0.008771929824561403,0.5964912280701754,0.0,0.0,0.0,0.008771929824561403,0.16666666666666666,0.008771929824561403,0.008771929824561403,0.0,0.22807017543859648,0.017543859649122806,0.14912280701754385,0.21929824561403508,0.0,0.0,0.2719298245614035,0.043859649122807015,0.017543859649122806,0.0,0.02631578947368421,0.0,0.017543859649122806,0.008771929824561403,0.02631578947368421,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.21052631578947367,0.02631578947368421,0.0,0.008771929824561403,0.20175438596491227,0.0,0.10526315789473684,0.10526315789473684,0.02631578947368421,0.07894736842105263,0.0,0.0,0.017543859649122806,0.07017543859649122,0.0,0.14035087719298245,0.3684210526315789,0.0,0.0,0.0
